"Gene","distance","Z","FC","p_value","p_adj"
"TXNIP",6.77684067768178e-08,-0.306026323493509,2.22397898296584e-05,0.996237263631308,0.999999999999909
"SNHG15",6.57088508570571e-08,-0.311976527226442,2.09085478907407e-05,0.996351616490911,0.999999999999909
"PTP4A1",6.42305735904843e-08,-0.316350096878205,1.99783551099852e-05,0.996433695023728,0.999999999999909
"HSP90AA1",6.36429438118448e-08,-0.318113440300509,1.96144731418995e-05,0.996466322059757,0.999999999999909
"PRPS2",6.2543416658436e-08,-0.321451973178756,1.89425888295615e-05,0.996527371248645,0.999999999999909
"CD24",6.24575597638689e-08,-0.321714846797733,1.88906173944818e-05,0.996532138293008,0.999999999999909
"CCDC80",6.11928729540468e-08,-0.325624577207906,1.8133340410942e-05,0.996602357689865,0.999999999999909
"FBXO32",5.88548904222449e-08,-0.333044757745912,1.67741776634232e-05,0.996732169916173,0.999999999999909
"HSPH1",5.81849842609651e-08,-0.33521899999919,1.63944922194873e-05,0.996769365253032,0.999999999999909
"CXCL3",5.78818970391338e-08,-0.336209992247571,1.62241383237554e-05,0.996786193629175,0.999999999999909
"UBE2D1",5.72035091909049e-08,-0.338444857114146,1.58460663865644e-05,0.996823859906818,0.999999999999909
"COL1A1",5.49715874654313e-08,-0.34596715048121,1.46336507198104e-05,0.996947783436976,0.999999999999909
"MAT2A",5.44860456765183e-08,-0.347639347551754,1.43762861291011e-05,0.996974742301093,0.999999999999909
"PLAUR",5.42080554608155e-08,-0.348602692729884,1.42299634603475e-05,0.99699017722632,0.999999999999909
"SOCS1",5.4130466083515e-08,-0.348872351552014,1.41892571913063e-05,0.996994485242306,0.999999999999909
"IER5",5.02303569550512e-08,-0.362889175944411,1.22182401361125e-05,0.997211032166745,0.999999999999909
"FAM229B",4.93379265159957e-08,-0.366231700763818,1.17879399613254e-05,0.997260582878117,0.999999999999909
"DDX21",4.90003224663317e-08,-0.367510145978968,1.16271695044122e-05,0.997279327782547,0.999999999999909
"CTSL",4.45823941333485e-08,-0.385001836557978,9.62504794503903e-06,0.997524626053968,0.999999999999909
"CRABP2",4.30875865668674e-08,-0.391269043104842,8.99043003269043e-06,0.997607622862353,0.999999999999909
"DDR2",3.96154835831715e-08,-0.406604556132371,7.59986803144416e-06,0.997800405946636,0.999999999999909
"RDX",3.84374976332784e-08,-0.412078801674398,7.15461618036524e-06,0.997865811802676,0.999999999999909
"PMP22",3.82145268414656e-08,-0.413131669550235,7.071850987135e-06,0.997878191914196,0.999999999999909
"H1F0",3.69311908662412e-08,-0.419299555248013,6.60484684440719e-06,0.997949447187385,0.999999999999909
"TLE1",3.30958689000011e-08,-0.438936222497728,5.30424655177032e-06,0.998162397686675,0.999999999999909
"SUPT5H",3.26449591081016e-08,-0.441375709995197,5.16069728985263e-06,0.998187433785409,0.999999999999909
"IRF7",2.99325927295571e-08,-0.456713105837644,4.33875173963639e-06,0.998338033950373,0.999999999999909
"PLVAP",2.91415071761937e-08,-0.46141840456823,4.1124454134933e-06,0.998381957826837,0.999999999999909
"PIM1",2.62602761892793e-08,-0.479571061483292,3.33944816288753e-06,0.99854193403346,0.999999999999909
"CITED2",2.43155012282644e-08,-0.492849510826757,2.8631399729266e-06,0.998649914899629,0.999999999999909
"TUBA4A",2.34956345519189e-08,-0.498731246043255,2.6733171519869e-06,0.99869543683932,0.999999999999909
"NUFIP2",2.34592669690356e-08,-0.498996336275408,2.66504779960466e-06,0.998697456098114,0.999999999999909
"TGM2",2.23257117620902e-08,-0.507447246737965,2.41371925253753e-06,0.998760395157808,0.999999999999909
"ARID5B",2.23108567965977e-08,-0.507560495020646,2.41050826532759e-06,0.998761219958941,0.999999999999909
"PGM5-AS1",2.11451802467296e-08,-0.516662506507425,2.16520444841167e-06,0.998825942519197,0.999999999999909
"C6orf62",2.03759149787549e-08,-0.522915873404105,2.01052911783068e-06,0.998868654901657,0.999999999999909
"EHD1",1.88567874940718e-08,-0.535905089316699,1.72191433384751e-06,0.998953002348589,0.999999999999909
"HSPE1",1.65506171956816e-08,-0.557516467562713,1.32649163414688e-06,0.99908104927837,0.999999999999909
"HSPB7",1.59263283969064e-08,-0.56382524023565,1.22830850976567e-06,0.999115712058366,0.999999999999909
"KCNQ1OT1",1.57761268080592e-08,-0.56537576244254,1.20524934609481e-06,0.999124051795995,0.999999999999909
"FBLN5",1.4270133725847e-08,-0.581690165188006,9.86125554911767e-07,0.999207670005657,0.999999999999909
"ELMSAN1",1.30812713707598e-08,-0.595684685149487,8.28659355718497e-07,0.999273679970887,0.999999999999909
"MTRNR2L1",1.29468811632285e-08,-0.597336826987848,8.11720381953196e-07,0.99928114180469,0.999999999999909
"CTR9",1.26776652591664e-08,-0.600692681991275,7.78313724276772e-07,0.99929608965242,0.999999999999909
"SLC25A37",1.25913073045448e-08,-0.601782537632521,7.67746375075599e-07,0.999300884560709,0.999999999999909
"SPSB1",1.21255448516104e-08,-0.607777303194642,7.11997801102737e-07,0.999326745389553,0.999999999999909
"ENPP2",1.19159696918863e-08,-0.610541520413036,6.87598479192603e-07,0.999338381766444,0.999999999999909
"ANGPTL1",1.08845857664519e-08,-0.624806826304049,5.73719933226597e-07,0.999395647963977,0.999999999999909
"CEBPD",1.07294210332301e-08,-0.627055745559508,5.57479244955893e-07,0.999404263276209,0.999999999999909
"MITF",8.07400945660542e-09,-0.670841529463439,3.15685500481206e-07,0.999551701427274,0.999999999999909
"LEFTY2",7.34979663995827e-09,-0.685003663319195,2.61593394433575e-07,0.999591912371303,0.999999999999909
"NR4A2",5.67504100771357e-09,-0.723198226509896,1.55960326523788e-07,0.999684900932391,0.999999999999909
"TNFRSF12A",5.5197400669005e-09,-0.727229915321268,1.47541223591919e-07,0.999693523809149,0.999999999999909
"DNAJA1",5.26824306693954e-09,-0.733977201187657,1.3440262043484e-07,0.999707487843341,0.999999999999909
"BAMBI",5.00306864723001e-09,-0.741407818518349,1.21212958502861e-07,0.999722211298048,0.999999999999909
"MEG3",4.93603902216362e-09,-0.743341273525872,1.17986765736804e-07,0.999725933028273,0.999999999999909
"LINC01088",4.03521779508577e-09,-0.771873887889256,7.88515233246326e-08,0.999775949921869,0.999999999999909
"RGS5",4.01235412503463e-09,-0.772669001079978,7.79605043792835e-08,0.999777219396576,0.999999999999909
"PLPP3",3.64063705527355e-09,-0.786193533036346,6.4184608698215e-08,0.999797858489902,0.999999999999909
"CTNNB1",3.50314177204485e-09,-0.79150785180903,5.9428060215138e-08,0.999805492731712,0.999999999999909
"G0S2",3.22670561433463e-09,-0.802776677346911,5.04190684215435e-08,0.999820841479907,0.999999999999909
"CKS2",2.90625793210806e-09,-0.81696396394271,4.09019900508269e-08,0.999838633909261,0.999999999999909
