"Gene","distance","Z","FC","p_value","p_adj"
"ENTPD3",1.10446077209051e-16,-1.61645034226169,2.48621382536532e-17,0.999999996021592,0.999999999882318
"BX284668.2",1.09957555715265e-16,-1.61659402236281,2.46426858653622e-17,0.999999996039189,0.999999999882318
"CH25H",1.09897772837953e-16,-1.6166116435232,2.46158971618334e-17,0.999999996041343,0.999999999882318
"AC007292.3",1.09295709088498e-16,-1.6167895719221,2.43469245866777e-17,0.99999999606303,0.999999999882318
"PENK",1.08688332448808e-16,-1.61696994045161,2.40770756746969e-17,0.999999996084908,0.999999999882318
"TMEM71",1.08184288294271e-16,-1.61712029305723,2.38542777215508e-17,0.999999996103065,0.999999999882318
"NIM1K",1.08138777852286e-16,-1.61713389859506,2.38342121391444e-17,0.999999996104704,0.999999999882318
"FCGR1A",1.07933731972074e-16,-1.61719526004915,2.37439119934741e-17,0.99999999611209,0.999999999882318
"LINC02310",1.07633979437548e-16,-1.61728514671409,2.3612212391805e-17,0.999999996122887,0.999999999882318
"AL117335.1",1.07427748189633e-16,-1.61734711630249,2.35218150861139e-17,0.999999996130316,0.999999999882318
"TJP3",1.06355605122769e-16,-1.61767096520481,2.30546563089727e-17,0.999999996168936,0.999999999882318
"CD69",1.05030217440797e-16,-1.61807527527245,2.24836292706685e-17,0.999999996216678,0.999999999882318
"MYO7B",1.04633143046236e-16,-1.6181972709439,2.23139486237643e-17,0.999999996230981,0.999999999882318
"PPP1R2C",1.04490868209486e-16,-1.61824108140426,2.2253307131054e-17,0.999999996236106,0.999999999882318
"AC004895.1",1.04472807727189e-16,-1.61824664646744,2.22456151531204e-17,0.999999996236757,0.999999999882318
"OBSCN",1.04237732430424e-16,-1.61831915813958,2.21456176257008e-17,0.999999996245225,0.999999999882318
"LYVE1",1.04074987562607e-16,-1.61836944241961,2.20765203415253e-17,0.999999996251087,0.999999999882318
"AC012363.2",1.03866598068125e-16,-1.61843393021997,2.19882011552777e-17,0.999999996258593,0.999999999882318
