"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000108309",4.240034,4.075413,4.554791,4.457447,4.605292,4.973257,4.483379,4.201701,4.280691,4.499188,4.878041,4.261173,5.564923,5.305249,5.784569,5.364956,5.413521,5.846139,5.792481,5.639737,5.968537
"ENSG00000108312",11.54106,11.47029,11.67053,11.82157,11.60551,11.66947,11.55426,11.97325,11.84267,11.60981,11.67675,11.70544,12.12066,12.21818,12.22607,12.30603,12.0534,11.87043,12.13602,12.17601,12.3778
"ENSG00000108344",8.523663,8.604762,7.77694,7.895132,8.448206,8.163414,7.579449,8.07571,8.799239,8.27889,8.204395,8.914435,8.197712,8.249622,8.560745,8.382801,8.368744,8.373721,8.361406,8.370188,8.491557
"ENSG00000108349",9.659921,9.927924,9.923546,10.06305,9.481894,9.595789,9.460582,9.126857,9.378834,9.961849,9.522387,9.166601,10.38143,10.78293,10.30414,10.4463,10.40404,10.46036,10.65802,10.58861,10.87087
"ENSG00000108370",3.346721,3.895154,3.668,3.34439,3.574156,3.981106,3.617736,3.622993,3.364963,3.510671,3.533878,3.64334,4.563955,4.464823,4.42695,4.215989,4.391,4.434663,4.304205,4.249625,4.43527
"ENSG00000108375",6.52034,6.59058,6.330809,6.405857,6.997744,6.766749,6.96935,7.369384,6.868593,7.216687,6.224823,6.638994,6.972623,7.214553,8.087359,7.945277,7.723495,7.559686,7.582147,7.909136,7.640583
"ENSG00000108379",4.584575,4.533466,4.621811,4.743724,4.479187,4.562791,4.492487,4.402452,4.690023,4.976829,4.509706,4.5162,6.055749,6.40555,6.114277,6.006392,6.165583,6.194537,5.855339,5.954961,6.097707
"ENSG00000108381",4.526924,4.169334,4.622302,4.210025,4.325526,5.193133,4.983318,4.528777,4.224399,5.405572,4.788584,4.276541,6.585029,6.239237,5.97475,6.225082,5.852843,6.290121,6.172667,6.511823,6.40824
"ENSG00000108384",11.64043,11.65864,11.3086,10.79424,11.38427,11.4285,11.59585,11.17686,11.21606,11.5889,10.32911,10.92002,10.4873,10.64229,10.69337,10.83458,11.20537,10.96461,10.80092,10.65869,10.0466
"ENSG00000108387",4.448244,4.539248,4.94261,4.790332,4.429201,5.052591,4.768652,4.744347,4.541799,4.807544,4.973282,4.431122,6.013124,5.997944,5.760239,5.907038,5.831236,5.858054,5.734671,5.950691,5.904777
"ENSG00000108389",8.198196,8.753766,8.581585,8.556829,8.239732,8.352445,7.933798,7.895274,8.030953,8.680044,8.576317,8.411192,9.143209,8.928928,9.015118,8.903452,8.535579,8.856165,8.77936,8.83973,8.542523
"ENSG00000108395",7.578599,7.33363,7.589772,7.970743,7.673538,7.897277,8.265191,8.128036,7.708159,8.210893,8.242365,9.364328,9.246998,9.373471,9.255245,9.759676,9.659596,9.086679,9.459601,9.427517,9.389869
"ENSG00000108405",9.846018,10.3678,9.459931,9.652514,9.883645,9.267676,9.216216,9.409777,10.537,9.208198,10.24285,10.86193,10.4368,10.57019,9.609873,9.65176,10.22151,9.622833,8.639645,8.555364,9.738154
"ENSG00000108417",4.880525,4.902687,4.90217,5.227707,4.876424,4.832348,5.342311,4.838549,4.792035,4.867417,5.06249,4.868669,5.911648,6.068099,6.203908,6.039593,6.084155,6.395692,6.024713,6.079182,6.291671
