"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000133393",11.3505,10.74168,11.17373,10.76281,11.03368,11.02741,11.40522,11.05815,10.98243,10.81973,11.31718,11.26581,11.57842,11.34979,11.61114,11.54747,11.49721,11.42565,11.23689,11.04299,11.48249
"ENSG00000133398",13.6676,13.51282,13.68669,13.59381,13.60753,13.71695,13.50764,13.58424,13.35701,14.20354,13.31909,13.57665,13.45825,13.43959,13.5753,13.50702,13.3742,13.40611,13.50421,13.50711,13.25078
"ENSG00000133606",11.96336,11.66903,12.6241,12.49366,12.48678,12.10653,11.52139,11.73411,11.29706,12.22271,11.48798,11.4268,12.3005,12.63854,12.58455,12.75759,12.36833,12.50938,12.7898,12.86802,12.519
"ENSG00000133657",10.97232,11.17696,10.42385,10.5153,10.59691,11.13882,9.904397,10.43188,10.61906,10.55943,10.58827,10.95329,12.09859,12.05566,11.77989,11.75437,11.78563,11.86287,11.80509,11.67829,11.82423
"ENSG00000133703",10.79214,10.76338,10.64153,10.56444,10.41426,9.754788,11.42002,10.67146,10.37667,10.34715,10.12529,10.58933,10.61819,10.91706,11.42335,11.38986,11.4062,11.07556,11.34093,11.11893,11.28965
"ENSG00000133773",13.76102,13.45686,13.82082,13.73335,13.83759,13.60713,13.87363,13.77829,13.47314,14.41512,13.35359,13.44978,12.36074,12.42581,12.72387,12.83975,12.68111,12.69649,12.44394,12.47471,12.39672
"ENSG00000133789",11.09671,10.92798,11.77697,12.03205,11.61848,11.59042,11.45374,11.12482,10.94529,11.48444,11.2033,11.27477,12.39061,12.84385,12.10221,12.25686,12.45845,12.42798,12.51233,12.46151,12.65513
"ENSG00000133794",10.88897,10.66539,11.65534,11.51878,11.05614,11.4523,10.62957,11.02096,10.68626,11.06123,11.06882,10.58015,11.06428,10.87,11.16205,11.08615,10.86463,11.3131,11.25721,11.41282,11.02551
"ENSG00000133858",12.16948,11.84411,12.38954,12.22261,12.15398,11.78386,12.17431,11.66769,11.57776,12.07027,11.41655,11.16197,12.98024,13.53577,13.05917,13.19177,13.2938,12.809,13.16016,13.1141,13.23532
"ENSG00000133872",11.83678,11.43586,12.13379,11.54768,12.28218,11.94451,11.7994,12.15806,12.04145,11.95743,11.74143,11.91786,11.71518,12.77348,12.52117,12.414,12.44882,12.30596,12.51901,12.32808,12.37643
